"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 04월 29일","24,566.0","24,036.0","24,688.0","23,971.0","178.48K","2.17%"
"2020년 04월 28일","24,045.0","24,015.0","24,435.0","23,878.0","192.24K","0.19%"
"2020년 04월 27일","23,999.0","23,647.0","24,100.0","23,535.0","143.53K","1.44%"
"2020년 04월 24일","23,658.0","23,332.0","23,730.0","23,155.0","169.75K","1.38%"
"2020년 04월 23일","23,337.0","23,375.0","23,772.0","23,231.0","211.39K","-0.08%"
"2020년 04월 22일","23,356.0","22,976.0","23,503.0","22,815.0","179.29K","1.86%"
"2020년 04월 21일","22,929.0","23,457.0","23,682.0","22,814.0","249.72K","-2.38%"
"2020년 04월 20일","23,488.0","24,088.0","24,203.0","23,441.0","208.15K","-2.78%"
"2020년 04월 17일","24,159.0","24,072.0","24,327.0","23,701.0","231.63K","3.21%"
"2020년 04월 16일","23,407.0","23,332.0","23,767.0","23,079.0","236.01K","0.07%"
"2020년 04월 15일","23,391.0","23,911.0","23,967.0","23,103.0","184.47K","-2.05%"
"2020년 04월 14일","23,880.0","23,320.0","23,922.0","23,250.0","174.57K","2.45%"
"2020년 04월 13일","23,309.0","23,839.0","23,911.0","22,968.0","159.04K","-1.55%"
"2020년 04월 10일","23,676.0","23,676.0","23,676.0","23,676.0","-","0.25%"
"2020년 04월 09일","23,618.0","23,298.0","23,889.0","23,020.0","262.87K","1.60%"
"2020년 04월 08일","23,246.0","22,479.0","23,394.0","22,244.0","238.33K","3.36%"
"2020년 04월 07일","22,491.0","22,496.0","23,477.0","22,300.0","275.76K","0.01%"
"2020년 04월 06일","22,488.0","20,944.0","22,663.0","20,944.0","222.34K","7.31%"
"2020년 04월 03일","20,957.0","21,272.0","21,352.0","20,740.0","169.30K","-1.49%"
"2020년 04월 02일","21,273.0","20,819.0","21,374.0","20,500.0","247.19K","2.57%"
"2020년 04월 01일","20,740.0","21,702.0","21,702.0","20,648.0","207.28K","-4.65%"
"2020년 03월 31일","21,751.0","22,186.0","22,386.0","21,641.0","173.68K","-1.88%"
"2020년 03월 30일","22,167.0","20,926.0","22,239.0","20,778.0","198.02K","3.41%"
"2020년 03월 27일","21,437.0","22,520.0","22,545.0","21,316.0","-","-4.08%"
"2020년 03월 26일","22,348.0","21,058.0","22,449.0","20,510.0","-","6.29%"
"2020년 03월 25일","21,026.0","20,679.0","21,892.0","20,279.0","-","2.03%"
"2020년 03월 24일","20,608.0","18,584.0","20,710.0","18,584.0","-","11.41%"
"2020년 03월 23일","18,497.0","18,504.0","19,804.0","18,086.0","-","-8.68%"
"2020년 03월 20일","20,255.5","19,712.0","20,999.0","19,543.0","-","1.26%"
"2020년 03월 19일","20,003.0","19,996.0","20,497.0","18,993.0","-","0.11%"
"2020년 03월 18일","19,981.0","20,791.0","20,954.0","18,904.0","85.73K","-4.70%"
"2020년 03월 17일","20,966.0","20,381.0","21,380.0","19,872.0","121.86K","2.78%"
"2020년 03월 16일","20,399.0","22,867.0","22,899.0","20,062.0","113.14K","-11.26%"
"2020년 03월 13일","22,988.0","20,769.0","23,147.0","20,388.0","232.40K","9.03%"
"2020년 03월 12일","21,085.0","23,565.0","23,851.0","20,875.0","465.61K","-10.56%"
"2020년 03월 11일","23,575.0","24,838.0","24,890.0","23,300.0","495.35K","-5.13%"
"2020년 03월 10일","24,849.0","23,727.0","25,020.0","23,424.0","523.50K","4.07%"
"2020년 03월 09일","23,877.0","25,356.0","25,356.0","23,549.0","335.68K","-7.41%"
"2020년 03월 06일","25,789.0","26,143.0","26,282.0","25,193.0","581.21K","-1.04%"
"2020년 03월 05일","26,060.0","26,921.0","26,973.0","25,915.0","461.26K","-3.36%"
"2020년 03월 04일","26,965.0","25,809.0","27,075.0","25,688.0","381.74K","4.19%"
"2020년 03월 03일","25,880.0","26,562.0","27,059.0","25,679.0","607.05K","-2.22%"
"2020년 03월 02일","26,468.0","25,196.0","26,711.0","24,851.0","637.92K","4.35%"
"2020년 02월 28일","25,364.0","25,522.0","25,772.0","24,675.0","735.82K","-0.74%"
"2020년 02월 27일","25,552.0","26,820.0","26,977.0","25,500.0","689.08K","-5.06%"
"2020년 02월 26일","26,914.0","27,124.0","27,519.0","26,692.0","588.27K","-0.75%"
"2020년 02월 25일","27,117.0","27,927.0","28,234.0","26,976.0","571.42K","-3.04%"
"2020년 02월 24일","27,968.0","28,745.0","28,754.0","27,887.0","503.60K","-3.50%"
"2020년 02월 21일","28,981.0","29,154.0","29,176.0","28,871.0","322.58K","-0.65%"
"2020년 02월 20일","29,171.0","29,366.0","29,434.0","28,931.0","288.12K","-0.57%"
"2020년 02월 19일","29,337.0","29,240.0","29,397.0","29,232.0","153.04K","0.43%"
"2020년 02월 18일","29,211.0","29,384.0","29,476.0","29,100.0","268.67K","-0.49%"
"2020년 02월 17일","29,356.0","29,441.0","29,475.0","29,327.5","-","-0.30%"
"2020년 02월 16일","29,445.5","29,379.5","29,463.5","29,377.5","-","0.17%"
"2020년 02월 14일","29,395.0","29,446.0","29,519.0","29,267.0","174.89K","-0.13%"
"2020년 02월 13일","29,432.0","29,529.0","29,543.0","29,245.0","220.17K","-0.31%"
"2020년 02월 12일","29,523.0","29,261.0","29,538.0","29,209.0","172.70K","1.01%"
"2020년 02월 11일","29,229.0","29,237.0","29,395.0","29,162.0","198.86K","-0.05%"
"2020년 02월 10일","29,245.0","29,021.0","29,250.0","28,850.0","198.76K","0.69%"
"2020년 02월 07일","29,044.0","29,357.0","29,367.0","29,006.0","228.30K","-0.97%"
"2020년 02월 06일","29,328.0","29,248.0","29,475.0","29,186.0","238.29K","0.30%"
"2020년 02월 05일","29,241.0","28,776.0","29,275.0","28,692.0","276.32K","1.57%"
"2020년 02월 04일","28,789.0","28,366.0","28,847.0","28,287.0","222.74K","1.51%"
"2020년 02월 03일","28,361.0","28,159.0","28,573.0","28,136.0","269.20K","0.59%"
"2020년 01월 31일","28,196.0","28,838.0","28,881.0","28,105.0","369.13K","-2.07%"
"2020년 01월 30일","28,791.0","28,718.0","28,843.0","28,432.0","347.45K","0.28%"
"2020년 01월 29일","28,710.0","28,736.0","28,888.0","28,650.0","235.91K","0.00%"
"2020년 01월 28일","28,710.0","28,479.0","28,780.0","28,471.0","261.24K","0.80%"
"2020년 01월 27일","28,481.0","28,720.0","28,732.0","28,405.0","363.77K","-1.56%"
"2020년 01월 24일","28,933.0","29,129.0","29,241.0","28,796.0","301.31K","-0.67%"
"2020년 01월 23일","29,127.0","29,112.0","29,150.0","28,924.0","232.28K","-0.04%"
"2020년 01월 22일","29,140.0","29,177.0","29,309.0","29,093.0","192.70K","-0.13%"
"2020년 01월 21일","29,179.0","29,280.0","29,318.0","29,108.0","238.63K","-0.34%"
"2020년 01월 20일","29,280.0","29,307.5","29,317.5","29,230.0","-","-0.09%"
"2020년 01월 19일","29,306.0","29,272.0","29,308.5","29,263.0","-","0.09%"
"2020년 01월 17일","29,279.0","29,245.0","29,362.0","29,242.0","170.08K","0.13%"
"2020년 01월 16일","29,240.0","29,034.0","29,263.0","29,032.0","152.87K","0.73%"
"2020년 01월 15일","29,029.0","28,934.0","29,090.0","28,838.0","224.03K","0.33%"
"2020년 01월 14일","28,934.0","28,874.0","29,015.0","28,737.0","232.55K","0.22%"
"2020년 01월 13일","28,871.0","28,775.0","28,907.0","28,775.0","141.63K","0.33%"
"2020년 01월 10일","28,777.0","28,930.0","29,022.0","28,751.0","183.36K","-0.53%"
"2020년 01월 09일","28,929.0","28,772.0","28,953.0","28,745.0","181.59K","0.55%"
"2020년 01월 08일","28,770.0","28,502.0","28,833.0","28,084.0","337.25K","0.86%"
"2020년 01월 07일","28,526.0","28,636.0","28,739.0","28,446.0","198.21K","-0.40%"
"2020년 01월 06일","28,642.0","28,494.0","28,700.0","28,351.0","218.79K","0.14%"
